"chemin","class","classe_CLOC","classe_LOC","classe_DC"
"org/jfree/chart/urls/PieURLGenerator.java","org.jfree.chart.urls.PieURLGenerator","59.0","5.0","11.8"
"org/jfree/chart/plot/Crosshair.java","org.jfree.chart.plot.Crosshair","367.0","306.0","1.2"
"org/jfree/chart/plot/PieLabelDistributor.java","org.jfree.chart.plot.PieLabelDistributor","103.0","107.0","0.96"
"org/jfree/chart/labels/StandardFlowLabelGenerator.java","org.jfree.chart.labels.StandardFlowLabelGenerator","68.0","49.0","1.39"
"org/jfree/chart/renderer/PolarItemRenderer.java","org.jfree.chart.renderer.PolarItemRenderer","147.0","35.0","4.2"
"org/jfree/chart/event/OverlayChangeListener.java","org.jfree.chart.event.OverlayChangeListener","43.0","6.0","7.17"
"org/jfree/chart/plot/Plot.java","org.jfree.chart.plot.Plot","679.0","692.0","0.98"
"org/jfree/chart/labels/BubbleXYItemLabelGenerator.java","org.jfree.chart.labels.BubbleXYItemLabelGenerator","127.0","117.0","1.09"
"org/jfree/chart/axis/StandardTickUnitSource.java","org.jfree.chart.axis.StandardTickUnitSource","80.0","40.0","2.0"
"org/jfree/chart/annotations/XYDrawableAnnotation.java","org.jfree.chart.annotations.XYDrawableAnnotation","104.0","130.0","0.8"
"org/jfree/data/time/Minute.java","org.jfree.data.time.Minute","234.0","215.0","1.09"
"org/jfree/chart/plot/dial/DialTextAnnotation.java","org.jfree.chart.plot.dial.DialTextAnnotation","202.0","165.0","1.22"
"org/jfree/chart/labels/SymbolicXYItemLabelGenerator.java","org.jfree.chart.labels.SymbolicXYItemLabelGenerator","87.0","69.0","1.26"
"org/jfree/chart/labels/AbstractXYItemLabelGenerator.java","org.jfree.chart.labels.AbstractXYItemLabelGenerator","160.0","162.0","0.99"
"org/jfree/chart/axis/CategoryAxis.java","org.jfree.chart.axis.CategoryAxis","577.0","764.0","0.76"
"org/jfree/data/xy/XIntervalDataItem.java","org.jfree.data.xy.XIntervalDataItem","66.0","37.0","1.78"
"org/jfree/chart/plot/PiePlotState.java","org.jfree.chart.plot.PiePlotState","158.0","90.0","1.76"
"org/jfree/chart/text/G2TextMeasurer.java","org.jfree.chart.text.G2TextMeasurer","45.0","19.0","2.37"
"org/jfree/data/statistics/Statistics.java","org.jfree.data.statistics.Statistics","182.0","237.0","0.77"
